Кампания,Стоимость,Цена за клик,Цена за конверсию,Цена за транзакцию,Доход от клика,Доход,Рентабельность инвестиций в рекламу
yd_msk_couches_corner_selling-words_search-v2,"178034,25","95,26","2405,87","0,00","0,55","0,00","0,57%"
yd_chel_mebel_all-types_search,"100986,23","130,81","1980,12","0,00","3,99","0,00","3,05%"
yd_spb_bed_generic_search_v5,"99114,09","88,34","935,04","0,00","0,20","0,00","0,23%"
yd_msk_bed_size_network_v5,"97694,04","146,03","506,19","0,00","0,04","0,00","0,03%"
yd_msk_bedroom_bed_general-words_akcii_network-v2,"93648,00","144,30","909,20","0,00","0,67","0,00","0,46%"
yd_nsk_couches_kreslo_all-types_network,"86311,35","50,53","442,62","0,00","0,03","0,00","0,06%"
yd_nsk_mebel_all-types_network,"79886,90","49,13","307,26","0,00","1,89","0,00","3,85%"
yd_spb_couches_all-types_network_v4_exp,"78462,99","11,66","1743,62","0,00","0,01","0,00","0,08%"
yd_tvr_couches_kreslo_all-types_search,"75684,94","70,27","1261,42","0,00","0,17","0,00","0,24%"
yd_kra_mebel_all-types_network,"74893,63","73,14","516,51","0,00","0,96","0,00","1,31%"
yd_spb_couches_design_search_v5,"74342,99","91,89","1689,61","0,00","0,16","0,00","0,18%"
yd_kra_couches_interes_network_cpa_glavnaya,"73876,04","76,71","1296,07","0,00","0,34","0,00","0,45%"
yd_msk_couches_general-akcii_network-v2_cpa,"73142,54","5,92","1108,22","0,00","0,03","0,00","0,55%"
yd_nnov_wardrobe_generic_search_v5,"72911,24","77,32","867,99","0,00","0,00","0,00","0,00%"
yd_msk_couches_interes_network_cpa,"67416,59","129,65","612,88","0,00","0,75","0,00","0,58%"
yd_vor_couches_kreslo_all-types_search,"63830,31","38,48","569,91","0,00","0,00","0,00","0,00%"
yd_nnov_dsa_pg_search,"63317,68","64,87","867,37","0,00","0,00","0,00","0,00%"
yd_tvr_mebel_all-types_network,"59603,59","42,60","532,17","0,00","0,00","0,00","0,00%"
yd_kazan_mebel_all-types_network_ctr,"58932,64","18,50","818,51","0,00","0,00","0,00","0,00%"
yd_ros_mebel_all-types_network,"56700,00","49,82","290,77","0,00","3,47","0,00","6,97%"
yd_msk_couches_divan-i-kresla_network-v2_cpa,"56698,73","23,60","766,20","0,00","0,31","0,00","1,30%"
yd_kra_wardrobe_generic_search_v5,"55914,96","101,11","765,96","0,00","1,18","0,00","1,17%"
